Frequency (Hz)	Level (dB)
20906.250000	-167.633774
20953.125000	-169.998581
21000.000000	-173.510345
21046.875000	-174.810822
21093.750000	-175.531418
21140.625000	-175.831467
21187.500000	-175.971176
21234.375000	-176.414825
21281.250000	-177.726776
21328.125000	-177.827835
21375.000000	-175.822021
21421.875000	-174.502090
21468.750000	-170.546982
21515.625000	-170.824280
21562.500000	-174.346252
21609.375000	-176.067581
21656.250000	-174.160934
21703.125000	-172.909912
21750.000000	-175.107178
21796.875000	-174.520554
21843.750000	-173.214584
21890.625000	-173.634293
21937.500000	-176.069321
21984.375000	-174.204788
22031.250000	-175.648712
22078.125000	-177.107010
22125.000000	-174.788086
22171.875000	-176.149124
22218.750000	-177.323959
22265.625000	-178.048965
22312.500000	-174.233978
22359.375000	-168.751205
22406.250000	-167.025711
22453.125000	-171.038254
22500.000000	-173.538025
22546.875000	-172.376450
22593.750000	-167.570770
22640.625000	-170.494644
22687.500000	-175.264267
22734.375000	-174.535324
22781.250000	-176.191605
22828.125000	-177.073334
22875.000000	-174.578262
22921.875000	-175.739380
22968.750000	-175.563828
23015.625000	-176.435364
23062.500000	-174.691376
23109.375000	-169.440720
23156.250000	-168.528778
23203.125000	-170.859695
23250.000000	-174.725616
23296.875000	-174.880554
23343.750000	-174.236923
23390.625000	-174.147552
23437.500000	-176.868423
23484.375000	-172.957520
23531.250000	-172.767929
23578.125000	-173.267670
23625.000000	-173.485901
23671.875000	-176.219254
23718.750000	-178.257324
23765.625000	-178.430695
23812.500000	-177.692841
23859.375000	-168.805588
23906.250000	-163.865189
23953.125000	-167.908234
